"discrete_curve","model","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation","r","K","t_lag","N_0","r.t.value","K.t.value","t_lag.t.value","N_0.t.value"
177,"gompertz",10,"Hours","CFU","Aerobic Psychotropic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.189189830996185,6.98643509771493,41.1328858416645,0.0151897909066322,15.3394553739908,43.0535260602872,9.68359409426076,0.0752369284676233
178,"buchanan",15,"Hours","CFU","Aerobic Psychotropic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.22108701940423,7.14586965998256,21.5520961196672,0.363411802454166,20.4584240827809,51.6416100306577,8.44536602606208,1.85707187563951
179,"buchanan",20,"Hours","CFU","Aerobic Psychotropic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.370698676588452,6.10011624527753,14.7567491190746,0.447072064363906,26.538174866462,37.8631253886181,13.9501073636181,3.92437840919771
180,"gompertz",2,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0593127015473308,6.22619637558337,162.473682182661,0.164384273347829,14.0077754605535,31.6639375466151,16.082707913589,1.41486032782046
181,"gompertz",7,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.144105823242669,7.56297026992851,87.3901285036485,0.245306525040804,9.88426220337315,31.7804655200719,12.459606653258,1.40483136321697
182,"baranyi",4,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0655613557025794,6.00616325490057,138.776436398563,0.204451733194061,18.1024388883179,76.4365542062583,16.117102315562,1.71046172945492
183,"gompertz",10,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.25829511097085,6.71758216316521,50.3658219790799,0,10.7836753656639,31.2661637443805,14.5351518696918,0
184,"baranyi",15,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.329749266070237,7.04213022108499,22.1032087974285,0.321264123936506,14.3337035034382,37.951184747348,4.9653395536959,0.699569964194818
185,"buchanan",20,"Hours","CFU","Aerobic Mesophilic.","Raw Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.461859845235546,6.05208333333333,10.2838125322967,0.145390802414238,16.6443248325533,21.5603782265813,3.36695694527345e-06,2.37315380550931e-07
186,"baranyi",2,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0474321971545843,6.01183416462722,153.068236038168,0.295210140824541,17.0068780285478,42.6093850257417,12.8819552760904,2.4122807069129
187,"baranyi",4,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0643804637479313,6.80749593176034,132.191705275179,0.531320806796756,40.8137296226564,156.824425477651,30.6727022867424,8.13481392743892
188,"gompertz",7,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.103241096553753,8.34665031279873,89.4356000026724,0.157247494112033,21.4934842779541,31.3461624513118,18.9566855520617,1.69964690950117
189,"gompertz",10,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.22663308935433,5.93787522897029,42.5876678514375,0,12.6712359378162,43.3907063590398,11.7775552195386,0
190,"gompertz",15,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.29914213797538,6.39743670535347,27.2799120588917,0.0907722931120091,10.883583407017,20.9640222285779,6.66160602981239,0.271593900310988
191,"gompertz",20,"Hours","CFU","Aerobic Mesophilic.","Salted Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.623232177039897,6.52261488673831,17.7486427517004,0.278122699479842,9.11622017889095,15.0640428749728,12.0370082437526,1.39042325077704
192,"baranyi",2,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0521270998923108,6.50390055128721,151.689310744905,0.35325274588028,11.5980449568238,29.9754078735398,7.98358673564035,1.45108773308568
193,"baranyi",4,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0803528704981498,8.87903802322511,142.433583821727,0,6.23354525311437,21.7929869901802,2.47395188101143,0
194,"gompertz",7,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.171892477303404,9.08056201077531,111.016603089311,0.0753004203777629,8.72128328072652,26.9256692541513,13.9463326777887,0.40975483631859
195,"buchanan",10,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.193083901116549,7.76512952052415,35.1952515972372,0,15.2643834220824,34.107768119175,5.94805912619163,0
196,"gompertz",15,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.365619691059123,8.56309634447963,23.6708755575841,0.428493173378008,17.1632313598603,34.2724528186057,10.5265818598625,1.96446473099708
197,"baranyi",20,"Hours","CFU","Aerobic Mesophilic.","Cooked Chicken Breast",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.559605170744113,7.27691410461897,13.1958421492063,0.396348125956563,33.7856721386921,80.3558081247858,18.6411712607593,4.21571161969118
198,"gompertz",8,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.23401903935187,9.48448798872537,1.47160370220534,4.7175224856377,5.27752309669358,41.4839371751943,6.54945756419732,23.4592810515119
199,"buchanan",8,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.45744746492384,6.30512125817749,1.50853003676399,3.53056234599149,10.1078781854124,45.3485385017181,5.50301078380768,35.9111022322047
200,"baranyi",8,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",22.7657394141357,4.80409700728276,4.98117699877993,3.77076323266909,1.38442673630795e-07,24.950924571252,4.27963523269889e-05,39.1682469037214
201,"gompertz",10,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.26911501563849,0,3.15075148892375,9.46088271365937,7.39457393551899,0,8.53552970239015,39.021997454981
202,"gompertz",10,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.14374557589642,3.5179700919691,2.87865589747723,7.70239183468509,4.33724629598551,6.52608712441143,10.3646038864028,48.1074819242261
203,"gompertz",10,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.70369784820978,3.72415961200892,4.81743203830882,6.03673024985447,144.259181513185,535.044077566844,229.929668813594,633.750215580359
204,"gompertz",10,"Hours","N","Spoilage","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.35624806124128,9.42701774149264,2.8844898779873,5.42416718331828,5.87554528726005,57.4190892186477,7.59477046163216,31.800672709996
205,"gompertz",10,"Hours","N","Escherichia coli","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",0.922438758738879,11.7428755539259,4.01949552036044,4.44435782176313,6.60202805463099,2.76406358653355,4.20684880175154,21.6462765678619
206,"gompertz",12,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.30311714437427,3.4910692841442,4.61384976534278,9.87026059315264,13.6944564773889,7.12956084344654,14.7531228910624,34.1147216299999
207,"gompertz",12,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.81568578638559,2.82411385666531,5.64749471604208,9.92666025614781,10.5066730914464,2.64639149944831,4.46025772399798,7.46849182071694
208,"gompertz",12,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.88078679850088,2.50998692654569,5.28505965064403,7.64235466438631,11.2370818173395,2.82487105822811,5.74837349656792,12.8912871986218
209,"buchanan",12,"Hours","N","Spoilage","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.8346607790627,9.38204347985483,1.88796449722009,4.60206401028287,23.5674862714523,144.234813656312,18.2021239724426,57.7669824686898
210,"gompertz",12,"Hours","N","Escherichia coli","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.51237070447322,3.69746026315176,9.32962577206816,6.32602970270352,10.8439207950821,65.8732348760027,15.0224349162559,19.0629380478288
211,"baranyi",12,"Hours","N","Salmonella Typhimurium","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.73692444413507,5.67685029126094,3.81483217713508,3.9379367066465,5.041701765634,120.295837699931,13.6966498592685,102.823946401307
212,"gompertz",15,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.49124399157105,4.23622773464817,3.77003811725135,9.62621042857129,36.4062746593388,31.193427874339,32.2729326958493,81.6475029509131
213,"gompertz",15,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.41688830825993,1.30623608396052,2.53563399780295,9.09675788576193,14.6702361795786,1.24113919512329,21.2079857716794,64.4177046105461
214,"gompertz",15,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.2016838356516,3.75237031641048,2.39941705996576,8.61961604521072,70.9238612017476,113.380889980305,176.45404560699,660.544305615989
215,"buchanan",15,"Hours","N","Spoilage","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.24840438695585,8.83431821974419,1.58479707629206,4.77015008880274,12.736028948187,50.2386972954201,7.21423769865476,38.3629833381215
216,"gompertz",15,"Hours","N","Escherichia coli","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.24604121280132,1.48833346236355,6.39999317478998,9.18485760032541,9.11254278830265,0.795045487831543,3.84618175905041,6.96172076450864
217,"gompertz",15,"Hours","N","Salmonella Typhimurium","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.47061338134155,8.0379408109667,1.10191858295967,3.82353314647496,6.48429688933737,18.2228798834253,2.9115498765479,18.9498531063256
218,"gompertz",20,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",8.15945285669459,4.11745902640677,1.54938341479325,9.51743986862908,2.78014263283456,2.14806452971394,4.59294013903247,13.6653415954718
219,"gompertz",20,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",11.8294474760804,3.47031144563161,1.12605060860331,9.56541264807439,34.6705815624785,15.6761528716388,69.0111000599898,281.073057782052
220,"gompertz",20,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",10.9253680436338,3.45564036258818,1.35984164480853,9.28567213767999,7.0700788734656,5.2134703075631,15.2990191020194,43.5318069786529
221,"gompertz",20,"Hours","N","Spoilage","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.35471654441033,4.99153061184253,2.00151663462491,9.17218730714252,7.7273024058393,12.2527476085272,4.32383356323851,8.50541554659852
222,"gompertz",20,"Hours","N","Escherichia coli","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",9.29552514057174,0,1.14809169601976,9.21887854930474,10.4232380040047,0,11.0394653091842,47.5323776323846
223,"gompertz",20,"Hours","N","Salmonella Typhimurium","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",8.86684430193565,4.01729055091294,1.41601669328322,8.6759783681267,3.65490453679738,4.36434222859879,7.29695988118309,22.0618002037278
224,"gompertz",30,"Hours","N","Spoilage","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",11.129783452526,0.969425163506207,1,9.48154663037787,8.66370811316084,0.133798404227048,5.39773142897391,12.4061375988502
225,"gompertz",30,"Hours","N","Escherichia coli","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",13.0556997172198,0.618837474628578,1,10.0059202059273,3.21123322776551,0.0342310744375143,2.14784803538634,4.74471715363909
226,"gompertz",30,"Hours","N","Salmonella Typhimurium","Vacuum Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",13.0451620191303,0.00629976385997016,1,9.26715445331133,5.872346730506,0.000670634499511493,4.02916721059527,8.34590021058845
227,"gompertz",30,"Hours","N","Spoilage","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",8.19106712782875,3.05643606153576,1.68889571674012,9.73275010618071,21.2340318309441,4.68016617439337,6.36047070194965,11.6658297543882
228,"gompertz",30,"Hours","N","Escherichia coli","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",13.2601378846907,0,1,9.44741448100703,5.65735645978955,0,5.27586209251836,13.5509938350694
229,"gompertz",30,"Hours","N","Salmonella Typhimurium","C02 Beef Striploins",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",11.1780561719608,1.33837863002751,1,8.97350522669474,5.32717287480128,0.183904181561353,5.31486453576111,15.7627852297248
230,"gompertz",5,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0239483511133054,0.822341483123317,351.126183117211,2.12705751438685,11.7543511100295,48.6930910612804,54.6431777424295,62.8491404553559
231,"buchanan",5,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0183251702051809,1.96546446656064,174.550066404831,0.454367053694416,28.0916030936944,81.0556356591534,39.9279524452105,45.8987095305623
232,"baranyi",5,"Hours","CFU","lactic_acid_bacteria","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.306692834519123,0.422517859094437,273.989570260122,0.396947810508135,2.91547593913864e-08,19.4576012872096,1.13325757091902e-07,44.776821783434
233,"gompertz",15,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0473614164833727,2.11070239631313,132.719618343021,0.850331653223446,5.44854415786561,85.3844638941043,19.1393433451186,50.13888897464
234,"buchanan",15,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0483989678589734,1.9624586635691,118.114689019418,0.449120234938675,69.1131107826875,273.205634890294,212.011957727744,88.4233070081047
235,"gompertz",15,"Hours","CFU","lactic_acid_bacteria","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0112444549372237,1.12265862182225,145.660889276006,0.390549808919965,5.31888601976647,31.7982872659611,11.6511322480584,22.6351418832398
236,"gompertz",25,"Hours","CFU","Total_Viable_Cells","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0363940353944849,0.768001052988883,122.813713248823,2.12144443311976,20.8254340480419,25.344925858175,50.8941357817266,203.895802415516
237,"baranyi",25,"Hours","CFU","Pseudomonas_spp","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0835516185236737,1.99211486980243,65.5404616731831,0.446397632158571,45.3036999306604,416.785357508826,102.599675940047,69.0653982835416
238,"gompertz",25,"Hours","CFU","lactic_acid_bacteria","frankfurters",1,"Heo, C., Choi, Y. S., Kim, C. J., & Paik, H. D. (2009). Estimation of shelf-life of frankfurter using predictive models of spoilage bacterial growth. Korean Journal for Food Science of Animal Resources, Vol. 29, pp. 289–295. https://doi.org/10.5851/kosfa.2009.29.3.289",0.0261245539081024,0.440016429658948,157.090391119574,1.16519452209626,9.52495545762402,50.4808168050076,35.5179281673034,178.607402254207
239,"gompertz",9,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.0641524347127615,0.645877613191044,60.7450516553129,0,0.0457672294565955,0.371600150176428,0.110671163060867,0
240,"gompertz",18,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.000551581501142252,12.603774215047,31151.6221092266,0,3.54206835125123e-12,3.26128572225644e-12,2.61510602669693e-11,0
241,"baranyi",15,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.270738648322562,0.641495910188759,115.721270405084,0,0.0642101588234299,0.325986889397951,1.10847404219138,0
242,"baranyi",12.5,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.443374226120535,0.569045855088171,89.8437456334633,0,0.000464877243253578,0.262306704396115,0.0123572837261185,0
243,"gompertz",7.5,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.0826680713819774,0,1090.16840894897,4.73086637186742,5.48905287306691e-08,0,4.35403122170718e-08,4.47203074966421e-08
244,"gompertz",3,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.0013133761478039,4.13763515277555,7.05951836808321,0,3.0029136849408e-06,1.46403995633753e-06,1.37919751990423e-08,0
246,"gompertz",-0.2,"Hours","Absorbance (660 nm)","Curtobacterium_psychrophilum","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.00053559556919939,5.79984110586884,9460.13224439255,0,1.74976259037663e-09,1.47986184221204e-09,5.32453175952003e-09,0
248,"gompertz",15,"Hours","Absorbance (660 nm)","Cytophaga_antarctica","Peptone",1,"Inoue, K. (1977). Effect of temperature on growth of obligately psychrophilic bacteria. The Journal of General and Applied Microbiology, 23(2), 53–63. https://doi.org/10.2323/jgam.23.53",0.0927609357283248,5.78006284337204,128.014370712267,0,0.000168190207776396,0.000133192046926521,0.00098562427462623,0
